#  cD     cE       density     E/A_snm       E/A_pnm 
 2.00    0.25     0.21    -15.72620270     18.47499715 
 2.00    0.25     0.23    -15.40890516     21.02020182 
 2.50    0.25     0.15    -14.75098147     12.23089758 
 2.50    0.25     0.17    -15.41381736     14.05818984 
 2.50    0.25     0.19    -15.78469136     16.14494971 
 2.50    0.25     0.21    -15.84856554     18.47499714 
 2.50    0.25     0.23    -15.60717387     21.02020182 
 3.00    0.25     0.15    -14.76411239     12.23089758 
 3.00    0.25     0.17    -15.49766736     14.05818984 
 3.00    0.25     0.19    -15.94631725     16.14494971 
 3.00    0.25     0.21    -16.09932660     18.47499714 
 3.00    0.25     0.23    -15.96511221     21.02020182 
-3.00    0.50     0.15    -24.38727349     12.23089759 
-3.00    0.50     0.17    -26.51327504     14.05818984 
-3.00    0.50     0.19    -28.80837161     16.14494971 
-3.00    0.50     0.21    -31.52733638     18.47499715 
-3.00    0.50     0.23    -35.46979776     21.02020182 
-2.50    0.50     0.15    -22.68898745     12.23089759 
-2.50    0.50     0.17    -24.37849185     14.05818984 
-2.50    0.50     0.19    -26.03098381     16.14494971 
-2.50    0.50     0.21    -27.69005556     18.47499715 
-2.50    0.50     0.23    -29.45195061     21.02020182 
-2.00    0.50     0.15    -21.23037849     12.23089758 
-2.00    0.50     0.17    -22.60031235     14.05818984 
-2.00    0.50     0.19    -23.83678891     16.14494971 
-2.00    0.50     0.21    -24.93620788     18.47499715 
-2.00    0.50     0.23    -25.90677066     21.02020183 
-1.50    0.50     0.15    -19.98898340     12.23089758 
-1.50    0.50     0.17    -21.12420349     14.05818984 
-1.50    0.50     0.19    -22.07548249     16.14494971 
-1.50    0.50     0.21    -22.82703688     18.47499714 
-1.50    0.50     0.23    -23.37039409     21.02020182 
-1.00    0.50     0.15    -18.94274482     12.23089758 
-1.00    0.50     0.17    -19.90732940     14.05818984 
-1.00    0.50     0.19    -20.65850596     16.14494971 
-1.00    0.50     0.21    -21.17678110     18.47499714 
-1.00    0.50     0.23    -21.44991613     21.02020182 
-0.50    0.50     0.15    -18.07039973     12.23089758 
-0.50    0.50     0.17    -18.91376931     14.05818984 
-0.50    0.50     0.19    -19.52438307     16.14494971 
-0.50    0.50     0.21    -19.88102649     18.47499714 
-0.50    0.50     0.23    -19.97031718     21.02020182 
 0.00    0.50     0.15    -17.35206915     12.23089758 
 0.00    0.50     0.17    -18.11300564     14.05818984 
 0.00    0.50     0.19    -18.62711403     16.14494971 
 0.00    0.50     0.21    -18.87191922     18.47499714 
 0.00    0.50     0.23    -18.83357866     21.02020182 
 0.50    0.50     0.15    -16.76977663     12.23089758 
 0.50    0.50     0.17    -17.47944109     14.05818984 
 0.50    0.50     0.19    -17.93135683     16.14494971 
 0.50    0.50     0.21    -18.10219974     18.47499714 
 0.50    0.50     0.23    -17.97807763     21.02020182 
 1.00    0.50     0.15    -16.30774542     12.23089758 
 1.00    0.50     0.17    -16.99184886     14.05818984 
 1.00    0.50     0.19    -17.40981695     16.14494971 
 1.00    0.50     0.21    -17.53789854     18.47499714 
 1.00    0.50     0.23    -17.36271579     21.02020182 
 1.50    0.50     0.15    -15.95247804     12.23089758 
 1.50    0.50     0.17    -16.63301085     14.05818984 
 1.50    0.50     0.19    -17.04146206     16.14494971 
 1.50    0.50     0.21    -17.15426174     18.47499714 
 1.50    0.50     0.23    -16.95925775     21.02020182 
 2.00    0.50     0.15    -15.69263962     12.23089758 
 2.00    0.50     0.17    -16.38909727     14.05818984 
 2.00    0.50     0.19    -16.81015505     16.14494971 
 2.00    0.50     0.21    -16.93316522     18.47499714 
 2.00    0.50     0.23    -16.74808500     21.02020181 
 2.50    0.50     0.15    -15.51886374     12.23089758 
 2.50    0.50     0.17    -16.24912088     14.05818984 
 2.50    0.50     0.19    -16.70357918     16.14494971 
 2.50    0.50     0.21    -16.86137634     18.47499714 
 2.50    0.50     0.23    -16.71563027     21.02020182 
 3.00    0.50     0.15    -15.42349036     12.23089758 
 3.00    0.50     0.17    -16.20441823     14.05818984 
 3.00    0.50     0.19    -16.71238886     16.14494971 
 3.00    0.50     0.21    -16.92930694     18.47499714 
 3.00    0.50     0.23    -16.85273027     21.02020182 
-3.00    0.75     0.15    -28.68274170     12.23089758 
-3.00    0.75     0.17    -32.16286772     14.05818984 
-3.00    0.75     0.19    -37.39386650     16.14494971 
-3.00    0.75     0.21    -74.97167267     18.47499714 
-3.00    0.75     0.23    -81.39878726     21.02020181 
-2.50    0.75     0.15    -26.48207293     12.23089758 
-2.50    0.75     0.17    -29.13040458     14.05818984 
-2.50    0.75     0.19    -32.26007687     16.14494971 
-2.50    0.75     0.21    -36.73693596     18.47499714 
-2.50    0.75     0.23    -50.16502179     21.02020181 
-2.00    0.75     0.15    -24.56965787     12.23089758 
-2.00    0.75     0.17    -26.65622707     14.05818984 
-2.00    0.75     0.19    -28.83178989     16.14494971 
-2.00    0.75     0.21    -31.23206398     18.47499714 
-2.00    0.75     0.23    -34.19660431     21.02020181 
-1.50    0.75     0.15    -22.91929118     12.23089758 
-1.50    0.75     0.17    -24.60500222     14.05818984 
-1.50    0.75     0.19    -26.21837671     16.14494971 
-1.50    0.75     0.21    -27.77282800     18.47499714 
-1.50    0.75     0.23    -29.30623728     21.02020182 
-1.00    0.75     0.15    -21.50747744     12.23089758 
-1.00    0.75     0.17    -22.90209114     14.05818984 
-1.00    0.75     0.19    -24.14810369     16.14494971 
-1.00    0.75     0.21    -25.23161344     18.47499714 
-1.00    0.75     0.23    -26.14691458     21.02020182 
-0.50    0.75     0.15    -20.31141064     12.23089758 
-0.50    0.75     0.17    -21.49530782     14.05818984 
-0.50    0.75     0.19    -22.49066306     16.14494971 
-0.50    0.75     0.21    -23.27677007     18.47499714 
-0.50    0.75     0.23    -23.84010376     21.02020182 
 0.00    0.75     0.15    -19.30877614     12.23089758 
 0.00    0.75     0.17    -20.34281143     14.05818984 
 0.00    0.75     0.19    -21.16500204     16.14494971 
 0.00    0.75     0.21    -21.75250156     18.47499714 
 0.00    0.75     0.23    -22.09002575     21.02020181 
 0.50    0.75     0.15    -18.47816398     12.23089758 
 0.50    0.75     0.17    -19.40934586     14.05818984 
 0.50    0.75     0.19    -20.11339354     16.14494971 
 0.50    0.75     0.21    -20.56621619     18.47499714 
 0.50    0.75     0.23    -20.75194246     21.02020181 
 1.00    0.75     0.15    -17.79969079     12.23089758 
 1.00    0.75     0.17    -18.66499620     14.05818984 
 1.00    0.75     0.19    -19.29212844     16.14494971 
 1.00    0.75     0.21    -19.65601453     18.47499714 
 1.00    0.75     0.23    -19.74058437     21.02020181 
 1.50    0.75     0.15    -17.25548325     12.23089758 
 1.50    0.75     0.17    -18.08469694     14.05818984 
 1.50    0.75     0.19    -18.66748057     16.14494971 
 1.50    0.75     0.21    -18.97812561     18.47499714 
 1.50    0.75     0.23    -19.00082332     21.02020181 
